ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,INDIRIZZO,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale,geo_x,geo_y
4867,PV,18177,VIGEVANO,BENI STABILI S.P.A. SIIQ - IL SAGITTARIO S.P.A. - RGD GESTIONI S.R.L.,V.Le Industria 225,,4200,12300,16500,45.3087666596,8.8760192086
797,VA,12026,BUSTO ARSIZIO,CITY GARMENTS,Via Fagnano Olona,A,0,8000,8000,45.6300483683,8.8568158453
9478,BS,17029,BRESCIA,ITALMARK SPA,"Viale S. Eufemia, 108/E",,4000,5178,9178,45.5168983427,10.2877574261
7705,MN,20030,MANTOVA,S.I.B. SPA,Via Galiani 1,D,0,5700,5700,45.1674918009,10.8217110487
9056,LO,98019,CODOGNO,SMA S.P.A.,Via Moro 1/3,,630,4110,4740,45.1545052088,9.6712356556
10228,MI,15171,PESCHIERA BORROMEO,IMMOBILIARE AMETISTA SRL EX COM.EST  SRL,Ss Paullese - Via Liberazionr 8,,4000,13999,17999,45.4234247158,9.293642016
1871,MB,108054,LENTATE SUL SEVESO,BENNET SPA,Via Nazionale Dei Giovi 249,,2783,6827,9610,45.6801232569,9.1120037281
2654,SO,14054,PRATA CAMPORTACCIO,SRL EFFETRE,"Via Nazionale, 36",C,0,2384,2384,46.2891727687,9.3891275876
1351,MI,15142,MELZO,G.C.A. GENERALMARKET SRL,Via Norvegia 1,,2968,4882,7850,45.5084101337,9.4122282155
1872,MB,108054,LENTATE SUL SEVESO,DIOTTI A &  F,Via Nazionale Dei Giovi 274,C,0,3361,3361,45.6823067717,9.1115173452
6457,CO,13012,AROSIO,COLOMBO ANTONIO SNC,"Via Volta, 60",C,0,2100,2100,45.7208627018,9.2049608491
11693,MI,15105,GARBAGNATE MILANESE,PE4 SRL,Via Peloritana,,3600,25800,29400,45.5735369799,9.0669737615
13316,MI,15044,CAMBIAGO,NAVA MAURO,Via Papa Giovanni Paolo Ii,,2600,1400,4000,45.573998649,9.4152091429
6458,MB,108033,MONZA,AUTODEMOLIZIONI MAURO DI MAURO MARIO & C SNC,Via Della Novella 56,D,0,2900,2900,45.5701886215,9.2293612254
3484,MN,20017,CASTIGLIONE DELLE STIVIERE,ODOLINI GIUSEPPE - LEGALE RAPPRESENTANTE,"V. Cavour, 57",,3000,6401,9401,45.3921728039,10.4797826799
6069,MI,15130,MAGENTA,IPER MAGENTA SPA,Via Leopardi,,1900,4600,6500,45.4610719506,8.8699565806
12706,MI,15051,CARUGATE,LEROY MERLIN ITALIA SRL,S.P. 208,D,0,8000,8000,45.5498013201,9.328283299
3647,BG,16198,SERIATE,IPER MONTEBELLO SPA,"Via Brusaporto, 41",,6520,11702,18222,45.6794580702,9.7450019121
4008,MI,15209,SESTO SAN GIOVANNI,COOP LOMBARDIA/IMMOBILIARE LARICE SRL,Viale Sarca/Via Milanese,,4850,12650,17500,45.528303557,9.2176792659
3558,PV,18110,PAVIA,COOP LOMBARDIA,V.Le Campari 64,,1040,2010,3050,45.1883615586,9.1674064682
